variable,tipo,ks_pvalue,psi,jensen_shannon,chi2_pvalue,estado_ks,estado_psi,estado_chi2
tipo_credito,numérica,0.9787,0.0005,0.0077,,Sin drift,Sin drift,No aplica
capital_prestado,numérica,0.7949,0.0047,0.0243,,Sin drift,Sin drift,No aplica
plazo_meses,numérica,0.9983,0.0025,0.0175,,Sin drift,Sin drift,No aplica
edad_cliente,numérica,0.749,0.0054,0.026,,Sin drift,Sin drift,No aplica
salario_cliente,numérica,0.6524,0.0029,0.0191,,Sin drift,Sin drift,No aplica
total_otros_prestamos,numérica,0.415,0.0031,0.0196,,Sin drift,Sin drift,No aplica
cuota_pactada,numérica,0.3219,0.0033,0.0204,,Sin drift,Sin drift,No aplica
puntaje,numérica,1.0,0.0002,0.0054,,Sin drift,Sin drift,No aplica
puntaje_datacredito,numérica,0.0696,0.0073,0.0302,,Sin drift,Sin drift,No aplica
cant_creditosvigentes,numérica,0.5305,0.0048,0.0245,,Sin drift,Sin drift,No aplica
huella_consulta,numérica,0.9652,0.0017,0.0147,,Sin drift,Sin drift,No aplica
saldo_mora,numérica,1.0,,,,Sin drift,No calculable,No aplica
saldo_total,numérica,0.6008,0.0016,0.0143,,Sin drift,Sin drift,No aplica
saldo_principal,numérica,0.8844,0.0026,0.0181,,Sin drift,Sin drift,No aplica
saldo_mora_codeudor,numérica,1.0,,,,Sin drift,No calculable,No aplica
creditos_sectorFinanciero,numérica,0.8815,0.0026,0.0179,,Sin drift,Sin drift,No aplica
creditos_sectorCooperativo,numérica,0.984,0.0006,0.009,,Sin drift,Sin drift,No aplica
creditos_sectorReal,numérica,0.9981,0.0003,0.0062,,Sin drift,Sin drift,No aplica
promedio_ingresos_datacredito,numérica,0.076,0.0077,0.031,,Sin drift,Sin drift,No aplica
tipo_laboral,categórica,,,,0.9917,No aplica,No aplica,Sin drift
Pago_atiempo,categórica,,,,0.6525,No aplica,No aplica,Sin drift
